,de,fr,ja,ko,sentiment,hashtags,user_mentions,author_followers_count,author_friends_count,author_statuses_count,retweet_count,favorite_count,ADJ,ADV,CC,CS,ET,I,NC,NP,PREF,PRO,V,PUNC
1113915432572997652,1,0,0,0,-0.312671,0,0,330,521,8070,1,3,0,1,0,0,0,0,6,1,2,0,2,2
1113915708176519183,1,0,0,0,0.0,0,5,114,126,932,0,2,2,4,0,0,0,0,3,0,0,2,4,3
1113917175214104577,1,0,0,0,0.0,0,1,27,91,3459,0,0,2,0,0,0,0,0,3,0,1,0,2,1
1113917836806819841,1,0,0,0,0.0,0,3,133,618,361,0,0,2,7,1,1,0,0,2,1,1,7,12,8
1113918448864825349,1,0,0,0,0.0,0,1,608,185,4741,0,1,3,2,1,0,0,0,4,0,2,4,4,2
1113919197690716162,1,0,0,0,0.0,0,3,230,740,9076,0,0,0,0,1,0,0,0,2,0,0,2,2,1
1113919390288941056,0,1,0,0,0.632721,0,0,72,186,1059,1,1,0,1,1,0,2,0,5,0,0,1,3,1
1113919628609228804,1,0,0,0,0.955265,0,0,35,422,961,0,0,0,0,0,0,0,0,2,2,1,0,2,1
1113919763867209730,1,0,0,0,0.0,3,0,5,35,262,0,0,2,0,0,0,0,0,3,1,1,0,2,0
1113920540622848000,1,0,0,0,-0.887653,0,2,1,13,74,0,1,2,1,1,0,1,0,2,0,1,2,5,0
1113920773318639616,1,0,0,0,0.0,1,0,69,30,3991,4,6,3,0,1,0,0,0,3,2,1,1,3,2
1113920980450197504,1,0,0,0,-0.267965,0,1,787,975,25333,0,0,6,2,1,0,1,0,7,0,2,1,4,5
1113921104547078144,1,0,0,0,-0.97118,0,1,10,30,612,0,0,2,1,1,0,0,0,1,1,0,1,2,1
1113921152462852096,0,1,0,0,0.0,2,1,63,245,106,1,0,1,0,0,0,0,0,1,1,0,0,1,1
1113921224592302080,1,0,0,0,0.0,0,1,36,170,2129,0,0,1,2,0,0,0,0,2,3,0,0,2,4
1113921264966610951,1,0,0,0,0.0,1,3,190,1398,4275,0,0,3,7,0,0,0,0,5,1,3,5,8,7
1113921356461236225,1,0,0,0,-0.669321,0,2,852,1026,86473,0,2,0,3,1,1,0,0,2,2,1,3,7,2
1113921609188945921,1,0,0,0,-0.921868,0,0,45,40,2582,0,0,1,0,1,1,0,0,11,3,7,3,5,6
1113921841243021312,1,0,0,0,-0.605172,0,1,2,7,10,0,0,3,5,3,0,0,0,3,0,0,9,9,6
1113922423932489731,1,0,0,0,-0.469415,0,1,4,95,156,0,0,2,4,3,1,0,0,4,0,1,9,14,3
1113922613301129218,1,0,0,0,-0.52849,0,0,3,19,1139,0,0,6,4,2,0,0,0,8,2,2,2,5,0
1113922744742240262,1,0,0,0,0.0,0,1,4200,2149,40932,0,2,4,4,2,0,0,1,6,2,4,3,5,7
1113922789579350027,1,0,0,0,-0.820825,0,1,370,258,73101,0,0,0,4,0,1,0,0,1,0,1,3,3,3
1113923294988840960,1,0,0,0,0.0,0,1,415,211,129187,0,1,2,6,2,0,3,0,5,2,2,11,9,7
1113923723768233985,1,0,0,0,-0.506184,0,0,1485,1862,16187,0,2,2,1,0,0,0,0,2,1,1,1,3,3
1113924445956186112,1,0,0,0,0.0,2,1,470,381,3798,1,4,3,1,0,1,0,0,8,0,2,2,5,7
1113925856953536512,1,0,0,0,0.0,0,1,76,460,48,0,0,3,2,0,1,0,0,3,1,3,4,6,3
1113927295830581255,1,0,0,0,0.0,0,1,111,139,311,0,0,6,3,3,0,0,0,8,2,3,5,7,3
1113927484674908167,1,0,0,0,-0.710428,1,0,2,17,60,0,0,1,4,1,0,0,0,10,1,2,9,8,8
1113927497257820162,0,1,0,0,0.771173,0,0,1203,638,208919,4,1,2,0,0,0,0,0,3,0,0,0,1,0
1113927804968738816,1,0,0,0,0.0,0,3,1338,323,13785,0,0,1,6,1,3,0,0,6,0,3,8,9,7
1113928252127494144,0,0,1,0,-0.835465,0,0,25723,1665,95826,964,1521,3,0,0,0,0,0,22,7,1,0,12,6
1113928305919578112,1,0,0,0,0.0,0,1,124,158,1446,0,0,0,5,0,0,0,0,4,0,1,2,7,4
1113928737811251202,1,0,0,0,-0.454276,0,1,324,1795,3771,0,1,1,1,1,0,0,0,3,0,1,2,2,2
